Station.Code,Latitude,Longitude,GMT.Offset
115,jacbanut  ,39.5937,74.5515,-5
116,jacbawq   ,39.5937,74.5515,-5
117,jacncmet  ,39.535,74.4636,-5
118,jacnenut  ,39.5479,74.4608,-5
119,jacnewq   ,39.5479,74.4608,-5
120,job06wq   ,17.934986,66.227933,-4
121,job09nut  ,17.943669,66.238486,-4
122,job09wq   ,17.943669,66.238486,-4
123,job10nut  ,17.938611,66.257736,-4
124,job10wq   ,17.938611,66.257736,-4
125,job11wq   ,17.944608,66.262028,-4
126,job18wq   ,17.944433,66.231881,-4
127,job19nut  ,17.942914,66.228825,-4
128,job19wq   ,17.942914,66.228825,-4
129,job20nut  ,17.930317,66.211472,-4
130,job20wq   ,17.930317,66.211472,-4
131,jobjbmet  ,17.956483,66.2229333,-4
132,kacbcwq   ,59.70567,151.1094,-9
133,kacdlwq   ,59.60232,151.41,-9
134,kachdnut  ,59.60201,151.40878,-9
135,kachdwq   ,59.60201,151.40878,-9
136,kachhnut  ,59.60342,151.41726,-9
137,kachomet  ,59.60093,151.4095,-9
138,kachowq   ,59.60232,151.41,-9
139,kachsnut  ,59.60201,151.40878,-9
140,kachswq   ,59.60201,151.40878,-9
141,kacpgwq   ,59.37053,151.89612,-9
142,kacsdnut  ,59.44099,151.72096,-9
143,kacsdwq   ,59.44099,151.72096,-9
144,kacsewq   ,59.44099,151.72096,-9
145,kacssnut  ,59.44099,151.72096,-9
146,kacsswq   ,59.44099,151.72096,-9
147,kach3wq   ,59.60205,151.40942,-9
148,lksolwq   ,46.65685,92.20166,-6
149,lkspomet  ,46.67236,92.135614,-6
150,lksblwq   ,46.748649,92.10027,-6
151,lksbawq   ,46.721772,92.06352,-6
152,lksbanut  ,46.721772,92.06352,-6
153,lksblnut  ,46.748649,92.10027,-6
154,lksbonut  ,46.73169,92.14257,-6
155,lksolnut  ,46.65685,92.20166,-6
156,lkspowq   ,46.67236,92.135614,-6
157,marscwq   ,27.8383,97.0503,-6
158,marcewq   ,28.1323,97.0344,-6
159,marabwq   ,27.9798,97.0287,-6
160,marmbwq   ,28.1384,96.8285,-6
161,marcwwq   ,28.0841,97.2009,-6
162,marcemet  ,28.1323,97.0344,-6
163,marmbnut  ,28.1384,96.8285,-6
164,marabnut  ,27.9798,97.0287,-6
165,marcenut  ,28.1323,97.0344,-6
166,marcwnut  ,28.0841,97.2009,-6
167,marscnut  ,27.8383,97.0503,-6
168,narncnut  ,41.62485,71.324283,-5
169,narncwq   ,41.62485,71.324283,-5
170,narpcmet  ,41.637139,71.339386,-5
171,narpcnut  ,41.64055,71.340881,-5
172,narpcwq   ,41.64055,71.340881,-5
173,nartbnut  ,41.578361,71.321125,-5
174,nartbwq   ,41.578361,71.321125,-5
175,nartsnut  ,41.578361,71.321125,-5
176,nartswq   ,41.578361,71.321125,-5
177,nartwnut  ,41.5789,71.3215,-5
178,nartwwq   ,41.5789,71.3215,-5
179,niwcawq   ,33.45,79.1667,-5
180,niwcbnut  ,33.3338636,79.1930411,-5
181,niwcbwq   ,33.3338636,79.1930411,-5
182,niwdcnut  ,33.3601486,79.1674572,-5
183,niwdcwq   ,33.3601486,79.1674572,-5
184,niwolmet  ,33.3493511,79.1888819,-5
185,niwolnut  ,33.3493511,79.1888819,-5
186,niwolwq   ,33.3493511,79.1888819,-5
187,niwtanut  ,33.2991461,79.2560564,-5
188,niwtawq   ,33.2991461,79.2560564,-5
189,nocecnut  ,33.9399,77.9411,-5
190,nocecwq   ,33.9399,77.9411,-5
191,noclcnut  ,34.1722,77.8328,-5
192,noclcwq   ,34.1722,77.8328,-5
193,nocrcmet  ,34.1555,77.8509,-5
194,nocrcnut  ,34.156,77.8499,-5
195,nocrcwq   ,34.156,77.8499,-5
196,noczbnut  ,33.9547,77.935,-5
197,noczbwq   ,33.9547,77.935,-5
198,owcbrnut  ,41.3483,82.5083,-5
199,owcbrwq   ,41.3483,82.5083,-5
200,owcolnut  ,41.3819,82.5142,-5
201,owcolwq   ,41.3819,82.5142,-5
202,owcowmet  ,41.37778,82.508056,-5
203,owcsunut  ,41.3672,82.5072,-5
204,owcsuwq   ,41.3672,82.5072,-5
205,owcwmnut  ,41.3825,82.515,-5
206,owcwmwq   ,41.3825,82.515,-5
207,owcdrwq   ,41.364978,82.504739,-5
208,owcdrnut  ,41.364978,82.504739,-5
209,pdbjewq   ,48.518917,122.474972,-8
210,pdbgdnut  ,48.5583,122.5725,-8
211,pdbjenut  ,48.518917,122.474972,-8
212,pdbbpnut  ,48.5565,122.5296,-8
213,pdbbpwq   ,48.5565,122.5296,-8
